case_id,gold_fields,pred_fields
"e00","[""单位"", ""日期""]","[""单位"", ""日期""]"
"e01","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e02","[""单位"", ""日期""]","[""单位"", ""数量"", ""日期""]"
"e03","[""型号""]","[""型号""]"
"e04","[""品牌"", ""日期""]","[""品牌"", ""日期""]"
"e05","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e06","[""数量""]","[""数量""]"
"e07","[""品牌"", ""数量""]","[""品牌"", ""数量""]"
"e08","[""单位""]","[""单位""]"
"e09","[""单位"", ""品牌""]","[""单位"", ""品牌"", ""数量""]"
"e10","[""型号"", ""日期""]","[""型号"", ""日期""]"
"e11","[""价格"", ""日期""]","[""价格"", ""单位"", ""日期""]"
