case_id,gold,pred,score
"c00","neg","neg","0.3132"
"c01","pos","pos","0.7880"
"c02","pos","pos","0.6752"
"c03","neg","neg","0.3023"
"c04","pos","pos","0.6199"
"c05","pos","neg","0.9006"
"c06","pos","pos","0.7749"
"c07","pos","pos","0.6261"
"c08","neg","neg","0.1651"
"c09","neg","pos","0.1980"
"c10","neg","pos","0.0209"
"c11","neg","neg","0.1885"
"c12","pos","pos","0.7435"
"c13","neg","neg","0.2025"
"c14","pos","pos","0.6963"
"c15","neg","neg","0.3220"
"c16","pos","pos","0.9822"
"c17","neg","neg","0.3310"
"c18","pos","pos","0.8667"
"c19","pos","pos","0.7600"
"c20","pos","pos","0.7647"
"c21","pos","pos","0.8032"
"c22","neg","neg","0.0578"
"c23","pos","pos","0.8122"
