case_id,gold,pred,score
"c00","pos","pos","0.6707"
"c01","neg","neg","0.1622"
"c02","pos","pos","0.7257"
"c03","pos","pos","0.6212"
"c04","pos","pos","0.5900"
"c05","pos","pos","0.7716"
"c06","pos","neg","0.7298"
"c07","neg","neg","0.0400"
"c08","pos","pos","0.6248"
"c09","pos","pos","0.5897"
"c10","neg","neg","0.1242"
"c11","pos","neg","0.7196"
"c12","neg","neg","0.2241"
"c13","pos","neg","0.6766"
"c14","neg","neg","0.1953"
"c15","pos","pos","0.7251"
"c16","neg","neg","0.3121"
"c17","neg","neg","0.0988"
"c18","neg","neg","0.3937"
"c19","neg","neg","0.3118"
"c20","neg","neg","0.1968"
"c21","neg","pos","0.2330"
"c22","neg","neg","0.2219"
"c23","pos","pos","0.7131"
